game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
fb944270-af51-43bd-93d7-19c2e8c27994,1,Live Chess,Chess.com,2024.03.19,-,abhute23,sujju143,0-1,1539,,1565,,,,sujju143,1565,abhute23,1539,26,,sujju143 won - game abandoned,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
5bffb0b9-cf94-4455-b076-f1fc915657a5,2,Live Chess,Chess.com,2024.03.19,-,Tanmayika31,abhute23,1-0,1555,,1531,,,,Tanmayika31,1555,abhute23,1531,24,,Tanmayika31 won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
54f70842-c449-4832-9ebd-45aff721d6f5,3,Live Chess,Chess.com,2024.03.19,-,yilmazyasin,abhute23,0-1,1458,,1537,,,,abhute23,1537,yilmazyasin,1458,79,,abhute23 won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
df43fee1-84fa-4c4b-a769-91da2c6985ca,4,Live Chess,Chess.com,2024.03.19,-,CheckNewlifeApp,abhute23,1-0,1522,,1528,,,,CheckNewlifeApp,1522,abhute23,1528,-6,,CheckNewlifeApp won by checkmate,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
8ebd63e2-90e0-4401-a675-27b16c58e063,5,Live Chess,Chess.com,2024.03.19,-,abhute23,bsen997,0-1,1521,,1558,,,,bsen997,1558,abhute23,1521,37,,bsen997 won on time,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
ed07a1cf-9c04-444d-9fa0-f2fdc97d7331,6,Live Chess,Chess.com,2024.03.19,-,Chessdalek2,abhute23,0-1,1439,,1527,,,,abhute23,1527,Chessdalek2,1439,88,,abhute23 won by checkmate,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
6929c670-3e68-44df-8532-f4ba11ddc156,7,Live Chess,Chess.com,2024.03.19,-,abhute23,vaganshakhbazyan,0-1,1520,,1589,,,,vaganshakhbazyan,1589,abhute23,1520,69,,vaganshakhbazyan won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
0278c6b2-4ecc-4c92-93c6-494f9b8ffd13,8,Live Chess,Chess.com,2024.03.19,-,abhute23,ADK_Rocks,0-1,1512,,1519,,,,ADK_Rocks,1519,abhute23,1512,7,,ADK_Rocks won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
4a1ddd1d-f236-432f-9814-002f9703fe1b,9,Live Chess,Chess.com,2024.03.19,-,abhute23,longliveKimIlSung,0-1,1504,,1500,,,,longliveKimIlSung,1500,abhute23,1504,-4,,longliveKimIlSung won - game abandoned,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
86fb3ef6-d901-49eb-8fec-b23720c08ef8,10,Live Chess,Chess.com,2024.03.20,-,Hasnainali143,abhute23,0-1,1513,,1512,,,,abhute23,1512,Hasnainali143,1513,-1,,abhute23 won - game abandoned,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
6cb64369-9190-4fd7-ba88-aa294bd89448,11,Live Chess,Chess.com,2024.03.20,-,rifky1109,abhute23,0-1,1464,,1519,,,,abhute23,1519,rifky1109,1464,55,,abhute23 won on time,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
4005ca28-5fa3-4508-bf3d-4157a9afe8e5,12,Live Chess,Chess.com,2024.03.20,-,SaymonMori17,abhute23,0-1,1532,,1527,,,,abhute23,1527,SaymonMori17,1532,-5,,abhute23 won on time,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
1736f8a5-63f1-4eb6-b24d-2fca0614ff98,13,Live Chess,Chess.com,2024.03.20,-,abhute23,scot892,1-0,1535,,1511,,,,abhute23,1535,scot892,1511,24,,abhute23 won on time,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
024abd27-acf4-4bf1-8782-8189b7418221,14,Live Chess,Chess.com,2024.03.20,-,abhute23,dnlgstn,1-0,1543,,1521,,,,abhute23,1543,dnlgstn,1521,22,,abhute23 won on time,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
6724f48e-fb9a-43e0-afc3-2b280013775c,15,Live Chess,Chess.com,2024.03.20,-,abhute23,melia_dream,1-0,1551,,1535,,,,abhute23,1551,melia_dream,1535,16,,abhute23 won by checkmate,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
04a904ec-9969-49e6-8184-2599d5b70ce5,16,Live Chess,Chess.com,2024.03.20,-,Galih265,abhute23,0-1,1514,,1558,,,,abhute23,1558,Galih265,1514,44,,abhute23 won on time,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
37ef8d4a-dfb7-4dc0-a020-849ca7a712f1,17,Live Chess,Chess.com,2024.03.20,-,PDI80,abhute23,1-0,1608,,1551,,,,PDI80,1608,abhute23,1551,57,,PDI80 won by checkmate,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
56f04d44-3757-435a-9b1d-b5bee7a580b6,18,Live Chess,Chess.com,2024.03.20,-,abhute23,MosesPiri,1-0,1559,,1522,,,,abhute23,1559,MosesPiri,1522,37,,abhute23 won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
9592b2d9-04e3-401b-b3b4-fc518c5ec053,19,Live Chess,Chess.com,2024.03.20,-,jaimealadefensiva1,abhute23,0-1,1574,,1568,,,,abhute23,1568,jaimealadefensiva1,1574,-6,,abhute23 won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
999ef940-f342-4b9d-bec0-f7e4a02244af,20,Live Chess,Chess.com,2024.03.20,-,abhute23,reshbinkarna,1-0,1575,,1527,,,,abhute23,1575,reshbinkarna,1527,48,,abhute23 won on time,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
0253e032-d422-474d-82b3-0c995c6eda93,21,Live Chess,Chess.com,2024.03.20,-,abhute23,nilkal,0-1,1566,,1536,,,,nilkal,1536,abhute23,1566,-30,,nilkal won by checkmate,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
bb9b2b25-81d1-4ce8-8b76-8e669ef15ec0,22,Live Chess,Chess.com,2024.03.20,-,Defeating_Grin10,abhute23,1-0,1611,,1559,,,,Defeating_Grin10,1611,abhute23,1559,52,,Defeating_Grin10 won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
d8c2a2cc-5a77-44c7-981d-5e23b3800c01,23,Live Chess,Chess.com,2024.03.20,-,Kashish070,abhute23,0-1,1581,,1568,,,,abhute23,1568,Kashish070,1581,-13,,abhute23 won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
d0fea405-0dfb-42f4-88fd-5907704b7abe,24,Live Chess,Chess.com,2024.03.20,-,agamemnon5,abhute23,1-0,1630,,1561,,,,agamemnon5,1630,abhute23,1561,69,,agamemnon5 won by checkmate,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
8b98993c-e5c7-465e-ae22-f79a6cd9ca83,25,Live Chess,Chess.com,2024.03.20,-,abhute23,luckyjohannes,1-0,1568,,1524,,,,abhute23,1568,luckyjohannes,1524,44,,abhute23 won on time,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
61741553-317a-4823-a474-a3619d0a2897,26,Live Chess,Chess.com,2024.03.20,-,jesus2084,abhute23,0-1,1531,,1575,,,,abhute23,1575,jesus2084,1531,44,,abhute23 won by checkmate,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
051aadb3-7af3-40f2-859f-ad2832e18b6b,27,Live Chess,Chess.com,2024.03.20,-,abhute23,long0001,1-0,1584,,1589,,,,abhute23,1584,long0001,1589,-5,,abhute23 won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
63744b78-34c2-49ba-acd4-50646727bca3,28,Live Chess,Chess.com,2024.03.20,-,abhute23,haxor0,0-1,1576,,1598,,,,haxor0,1598,abhute23,1576,22,,haxor0 won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
7a47fb58-44b5-4d43-b488-b9de2056b889,29,Live Chess,Chess.com,2024.03.20,-,Jonloy,abhute23,1-0,1569,,1568,,,,Jonloy,1569,abhute23,1568,1,,Jonloy won by checkmate,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
0319d08b-284d-498b-a759-b961db682a78,30,Live Chess,Chess.com,2024.03.20,-,abhute23,dirickx,0-1,1560,,1560,,,,dirickx,1560,abhute23,1560,0,,dirickx won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
11d5ab85-4d90-4e0d-9fa2-d53ff4dd8c52,31,Live Chess,Chess.com,2024.03.20,-,ndege,abhute23,0-1,1560,,1568,,,,abhute23,1568,ndege,1560,8,,abhute23 won on time,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
3bb6a21f-65cb-4794-9d65-334e9be72ec9,32,Live Chess,Chess.com,2024.03.20,-,Tarasco88,abhute23,1-0,1537,,1559,,,,Tarasco88,1537,abhute23,1559,-22,,Tarasco88 won by checkmate,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
aaffb7f7-4559-4f6d-99d2-4fb1044fbd3d,33,Live Chess,Chess.com,2024.03.20,-,olateema,abhute23,0-1,1553,,1567,,,,abhute23,1567,olateema,1553,14,,abhute23 won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (1).pgn
